course_id,attempt_id,date,size,completed
62903104-963a-51e0-b8fa-c25ca3e4abf1,b00a22e2-55cf-57ae-83d5-0bc15394b793,2069-06-04,115,true
ca6302d3-c24f-5c81-80a7-cf61e0127a45,c64911f9-6c98-5e79-b6fe-d84f2625002a,2084-01-02,77,false
f016dbbc-373b-57cb-84c3-f5778f90b7f4,15e3112b-dcf4-54cb-9c4a-b4e76e9ea767,2024-07-25,85,false
fbeb162e-215a-5122-a75f-73cdf3741420,5dc28585-cddc-5130-b316-022a4a74580e,2024-12-14,120,false
3c162047-f17c-5b12-b3b3-7b22cde27142,322d39a5-02f3-5f14-8b5f-a97423f65fdc,2034-06-27,1,true
39734c3b-7d0f-5714-8764-0244f370c9ee,a55bf6d4-7a9f-50ca-a67a-d5ef9706dbbb,2077-01-17,45,false
16cab944-c495-5f45-9847-ffc924ca0554,278b2dc5-959a-59cf-a734-162e34c0b671,2059-06-12,45,true
03e3cbf4-0f73-5024-b879-34862a1f7b1a,86b8ec62-ddfd-5ac8-aec2-f872fbb0076d,2119-06-04,87,false
80405c3f-b016-5b45-a9c7-f3cec3bd3515,a4e77302-0201-5da3-b0fd-9c98b248cedb,2047-11-27,34,true
2676e0b4-087c-5ab2-911f-0003ba3e45e8,dc8b97dd-73f5-5239-9c1d-06b4ba1cd8ed,2096-05-09,88,true
fa544aed-96ce-5545-ab8e-ca474c140c7b,f012f159-0b9c-5239-abce-4637a449f352,2024-03-30,13,false
e7fe1a1a-3428-5b04-b3a7-43cbd40ba6c0,743830e5-333c-583c-9803-d0f7320a0ee0,2084-07-23,13,false
86104ab0-ff3d-5481-90dc-b136dc5a868d,a8075295-21df-5d24-a01f-12f27416b790,2068-01-23,9,true
824a6faa-b6a8-5304-837e-02897184a54a,15e4ea64-8e22-5b44-834d-4ae6ae0204d6,2045-02-03,77,true
90bbff43-60ae-5ef5-a8ae-91bc420d131e,31b2695b-af05-5436-9483-8de3810bfe52,2045-11-11,42,true
796df787-2074-568b-a4fa-597865549e42,551ca384-e006-5dd3-b99c-bdc5262eb2f9,2019-03-12,37,false
e6e0cd95-d1dc-5444-a9cb-5fc87785246a,3d8bd68f-3f80-52a5-8eaa-8aa0d10e098f,2071-04-06,19,false
6d6522fb-51c8-5433-9a6c-c8da52fbc238,f5e4073b-f7a6-518e-99dc-ea95bea8bae8,2118-06-27,91,true
ad74c9d7-a82a-597f-b2ed-ebd5fc7f77e3,03607ee6-f914-5083-8038-508b874f7192,2102-08-18,8,true
9349d9ec-4caf-510a-bed6-00fdb4164f4e,a4fb30aa-9757-592e-b3c6-ce01f51ae867,2026-08-17,102,false
11731001-216a-5d24-b42f-1eafbea1f8e9,535fa617-ba1b-5cd9-9ec0-5a9cc0527e0c,2022-01-01,92,false
b572b8bb-7ade-54ac-b681-58cb8e2881f5,0a627776-e2fd-5806-b8d4-2d2ca8742568,2053-05-12,25,false
54d3bbca-172e-5bbf-a708-d94c541f914c,031f3dcb-84bd-5257-a0fb-ffffee71dc34,2022-10-24,24,true
30a7c7e4-1a79-54d1-b89f-036ca9091624,857ba4c9-3ade-5ca4-a01f-3a40c1abdee0,2086-11-07,13,true
