course_id,attempt_id,date,size,completed
7dbe5c59-fd2a-5225-badd-9846e82a02c2,cc4f2210-e7b9-5f98-847f-95385bb73d7c,2081/06/24,20,false
083abcdb-4912-5055-b775-5963b828b2dd,6c174bc2-3129-5ce6-83dd-51f9a11465bb,2078/01/06,21,false
02225127-f927-5d05-a384-66621527cdec,7f0a26ab-7ab9-5394-a253-429e7eb79f79,2118/12/11,90,true
a03dc6f1-f4c1-5019-b090-5496d8e020ce,8384fe20-04ad-54f8-b0b3-5ab9bb4efe4e,2073/06/21,1,false
985c38fb-317e-5b8d-a026-04be3f747715,889f1e83-25a2-5d3c-aa8c-5cc518d40b1e,2104/07/08,91,true
2d10dd96-b955-5851-9c75-4e921eafa60c,27a2996f-6347-57a7-b1d1-ab877893b952,2021/09/17,8,false
0d175ba4-6e26-5f8d-a5bf-d3f2c834da61,17ba9d1b-6d7a-5ecd-9e5f-36a5a452b198,2020/12/14,89,true
9c3596f0-6a44-5272-ab1e-f5fb1fb640dd,3fe97618-f66a-5cda-b667-a4f7e6966628,2090/03/18,67,false
8b57722d-b05d-5fa9-a8ad-a39ac91d786c,3f2aee12-c73c-55e5-b3de-35078840b6ba,2112/04/20,21,false
b4d60de4-0d94-542f-9459-c3e60fafb26b,22e0a903-e04a-573b-ac49-5fdae1a0cf2c,2107/05/04,33,true
e61e4dad-0ee0-5396-b72e-db6bde96df70,0e634ca9-13f6-51c1-a47c-b8b2250a2369,2021/08/26,4,true
247e2e42-ab29-5513-9f9f-11ac76167523,0d79a4ec-b83b-596a-93d4-987f37cd37c4,2077/03/30,28,true
f091d45f-1aa4-52b5-9e22-162da22bf582,83825da6-2e08-5ebe-ba2b-00178f0169d0,2051/04/10,5,true
927ef50d-c3a7-5fa3-bb7b-a5cb54a24a20,2e90ddac-f85b-572f-95eb-05205363a8bf,2055/01/09,72,false
c1f1571c-0158-5823-b7d0-82f338dfc208,bdbf6902-858c-57b8-b1eb-3b67ccffece4,2024/06/23,13,false
d4944b6e-040c-5297-a812-72cc7b92bbae,4c372abc-e3ce-54cb-a153-fe8068a4f191,2092/01/09,106,false
08d91f98-2185-5133-bf3f-957c10872bb6,13f5164d-aa3f-59b0-96c6-9e78f955d1be,2040/11/18,37,false
2af9180c-4d42-5531-b7be-cd914308eb85,4b67f1f3-eb2b-5804-bd39-5415ec8f1720,2087/07/21,103,false
99e68d20-3993-5b94-9593-d24499ffa5f8,83bd6600-9513-5cab-877d-5b63f2e526ca,2034/07/07,43,true
a37a50ce-d332-553d-8f3a-a3cb70b541f2,d9bd1941-054f-521b-a32c-b6d6b1aa9e50,2026/01/05,3,true
32d160f4-d6f8-5f51-a813-9e77cb734510,50bae7be-fb34-595e-91bf-1cd54d79c730,2113/01/26,57,false
6a758c0f-aac0-5868-8558-b5cf8b2e725e,c5f763b5-2eac-571b-bba3-76d7d44e38ab,2059/12/09,99,false
783cb627-4bd2-5d65-afb8-16e26481dff0,b6e85244-5c0f-586b-a422-1b732ac789cf,2088/04/08,11,true
c4b3d211-7265-5191-8475-5e349f6f9f39,d0dad46c-b042-5cbe-b6b6-4b5826f925a4,2104/10/20,14,false
8e7ff1e5-e956-5b46-a2bb-e669473c070c,2c467e8e-9ef7-523b-8015-dd7cce433c23,2054/11/02,42,false
3fbf25bb-46fd-5a14-9c82-6790f0f20fdb,c662a44c-a7e6-5e9c-bcfd-e804f3b0e5ce,2081/11/02,3,true
9150399a-53e7-5c1a-9f35-12487e6c6744,25df17f4-917e-5d6c-bf4e-d54147949d90,2068/03/12,58,false
f1e68584-8b79-5bc4-9ae9-4bbe93e14d83,897e7b69-ca99-5479-9f34-d93155c1b4a0,2090/03/24,36,false
4f247f74-7f8c-5bc6-b95d-63b5a87e545a,af3c9e57-df04-5835-bb4c-490aa5ff8544,2085/11/01,69,false
6cbc3ff0-d800-5af7-a62c-9e59a5527b58,5ffcab52-22f5-58de-9edf-45a31a496155,2073/06/11,92,true
07655403-e79c-556d-908f-2b4bf60059ff,070c3903-c776-5290-9687-9848dc3f2b52,2101/11/02,50,true
fccd9ed9-201e-5caa-85c2-a08b2c625643,b7afbaad-33db-583f-bcce-c1c229b5c963,2027/02/08,118,true
96885092-8e97-5bd1-acf5-9c1663e47964,3b7e0fc3-c2fa-509a-ac2c-7784c50c1399,2025/03/13,97,true
